DATE,COUNTY,TOTAL_CASES,NEW_CASES,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED
3/6/2020,Davidson,,,,,,
3/8/2020,Davidson,1,,,,,
3/9/2020,Davidson,1,0,,,,
3/10/2020,Davidson,2,1,,,,
3/11/2020,Davidson,2,0,,,,
3/12/2020,Davidson,6,4,,,,
3/13/2020,Davidson,10,4,,,,
3/14/2020,Davidson,14,4,,,,
3/15/2020,Davidson,17,3,,,,
3/16/2020,Davidson,25,8,,,,
3/17/2020,Davidson,42,17,,,,
3/18/2020,Davidson,58,16,,,,
3/19/2020,Davidson,75,17,,,,
3/20/2020,Davidson,101,26,,,,
3/21/2020,Davidson,140,39,,,,
3/22/2020,Davidson,167,27,,,,
3/23/2020,Davidson,164,-3,,,,
3/24/2020,Davidson,183,19,,,,
3/25/2020,Davidson,188,5,,,,
3/26/2020,Davidson,203,15,,,,
3/27/2020,Davidson,216,13,,,,
3/28/2020,Davidson,243,27,,,,
3/29/2020,Davidson,260,17,,,,
3/30/2020,Davidson,364,104,,,,
3/31/2020,Davidson,391,27,,,,
4/1/2020,Davidson,423,32,,4,,
4/2/2020,Davidson,617,194,2,6,,
4/3/2020,Davidson,685,68,0,6,,
4/4/2020,Davidson,741,56,0,6,,
4/5/2020,Davidson,801,60,0,6,,
4/6/2020,Davidson,819,18,1,7,,
4/7/2020,Davidson,888,69,2,9,,
4/8/2020,Davidson,946,58,4,13,,
4/9/2020,Davidson,1004,58,0,13,,
4/10/2020,Davidson,1048,44,0,13,,204
4/11/2020,Davidson,1111,63,0,13,47,251
4/12/2020,Davidson,1178,67,0,13,28,279
4/13/2020,Davidson,1207,29,3,16,12,291
4/14/2020,Davidson,1237,30,2,18,16,307
4/15/2020,Davidson,1283,46,1,19,17,324
4/16/2020,Davidson,1307,24,0,19,380,704
4/17/2020,Davidson,1465,158,0,19,49,753
4/18/2020,Davidson,1531,66,0,19,21,774
4/19/2020,Davidson,1638,107,0,19,17,791
4/20/2020,Davidson,1675,37,0,19,52,843
4/21/2020,Davidson,1719,44,1,20,37,880
4/22/2020,Davidson,1872,153,0,20,32,912
4/23/2020,Davidson,1934,62,1,21,30,942
4/24/2020,Davidson,2011,77,0,21,73,1015
4/25/2020,Davidson,2136,125,1,22,14,1029
4/26/2020,Davidson,2236,100,1,23,3,1032
4/27/2020,Davidson,2338,102,2,25,35,1067
4/28/2020,Davidson,2383,45,0,25,78,1145
4/29/2020,Davidson,2454,71,0,25,73,1218
4/30/2020,Davidson,2612,158,3,28,62,1280
5/1/2020,Davidson,2652,40,0,28,68,1348
5/2/2020,Davidson,2773,121,0,28,53,1401
5/3/2020,Davidson,2904,131,0,28,11,1412
5/4/2020,Davidson,2995,91,1,29,54,1466
5/5/2020,Davidson,3030,35,1,30,47,1513
5/6/2020,Davidson,3128,98,1,31,88,1601
5/7/2020,Davidson,3157,29,0,31,72,1673
5/8/2020,Davidson,3300,143,0,31,85,1758
5/9/2020,Davidson,3358,58,0,31,42,1800
5/10/2020,Davidson,3401,43,0,31,27,1827
5/11/2020,Davidson,3465,64,1,32,59,1886
5/12/2020,Davidson,3580,115,1,33,64,1950
5/13/2020,Davidson,3623,43,4,37,105,2055
5/14/2020,Davidson,3745,122,3,40,79,2134
5/15/2020,Davidson,3795,50,1,41,69,2203
5/16/2020,Davidson,3872,77,0,41,92,2295
5/17/2020,Davidson,3893,21,3,44,28,2323
5/18/2020,Davidson,4066,173,0,44,67,2390
5/19/2020,Davidson,4174,108,2,46,57,2447
5/20/2020,Davidson,4222,48,2,48,112,2559
5/21/2020,Davidson,4292,70,0,48,138,2697
5/22/2020,Davidson,4396,104,0,48,166,2863
5/23/2020,Davidson,4465,69,6,54,60,2923
