DATE,COUNTY,TOTAL_CASES,NEW_CASES,NEW_RECOVERED,TOTAL_RECOVERED,NEW_DEATHS,TOTAL_DEATHS
3/11/2020,Rutherford,,,,,,
3/13/2020,Rutherford,1,,,,,
3/14/2020,Rutherford,1,0,,,,
3/15/2020,Rutherford,1,0,,,,
3/16/2020,Rutherford,1,0,,,,
3/17/2020,Rutherford,1,0,,,,
3/18/2020,Rutherford,1,0,,,,
3/19/2020,Rutherford,1,0,,,,
3/20/2020,Rutherford,1,0,,,,
3/21/2020,Rutherford,5,4,,,,
3/22/2020,Rutherford,8,3,,,,
3/23/2020,Rutherford,9,1,,,,
3/24/2020,Rutherford,13,4,,,,
3/25/2020,Rutherford,19,6,,,,
3/26/2020,Rutherford,27,8,,,,
3/27/2020,Rutherford,39,12,,,,
3/28/2020,Rutherford,46,7,,,,
3/29/2020,Rutherford,48,2,,,,
3/30/2020,Rutherford,57,9,,,,
3/31/2020,Rutherford,68,11,,,,
4/1/2020,Rutherford,86,18,,,,1
4/2/2020,Rutherford,113,27,,,0,1
4/3/2020,Rutherford,127,14,,,2,3
4/4/2020,Rutherford,140,13,,,0,3
4/5/2020,Rutherford,147,7,,,0,3
4/6/2020,Rutherford,161,14,,,0,3
4/7/2020,Rutherford,178,17,,,0,3
4/8/2020,Rutherford,193,15,,,0,3
4/9/2020,Rutherford,203,10,,,3,6
4/10/2020,Rutherford,222,19,,49,0,6
4/11/2020,Rutherford,235,13,11,60,0,6
4/12/2020,Rutherford,243,8,8,68,0,6
4/13/2020,Rutherford,250,7,16,84,0,6
4/14/2020,Rutherford,253,3,9,93,0,6
4/15/2020,Rutherford,269,16,14,107,0,6
4/16/2020,Rutherford,271,2,17,124,0,6
4/17/2020,Rutherford,295,24,7,131,0,6
4/18/2020,Rutherford,302,7,7,138,0,6
4/19/2020,Rutherford,309,7,4,142,0,6
4/20/2020,Rutherford,328,19,8,150,1,7
4/21/2020,Rutherford,338,10,11,161,0,7
4/22/2020,Rutherford,345,7,3,164,0,7
4/23/2020,Rutherford,352,7,6,170,0,7
4/24/2020,Rutherford,364,12,6,176,0,7
4/25/2020,Rutherford,387,23,-1,175,1,8
4/26/2020,Rutherford,405,18,3,178,1,9
4/27/2020,Rutherford,423,18,5,183,0,9
4/28/2020,Rutherford,434,11,5,188,1,10
4/29/2020,Rutherford,448,14,10,198,1,11
4/30/2020,Rutherford,474,26,1,199,0,11
5/1/2020,Rutherford,502,28,8,207,0,11
5/2/2020,Rutherford,547,45,1,208,0,11
5/3/2020,Rutherford,579,32,1,209,0,11
5/4/2020,Rutherford,602,23,9,218,0,11
5/5/2020,Rutherford,620,18,1,219,1,12
5/6/2020,Rutherford,655,35,13,232,2,14
5/7/2020,Rutherford,661,6,13,245,0,14
5/8/2020,Rutherford,685,24,6,251,0,14
5/9/2020,Rutherford,720,35,27,278,0,14
5/10/2020,Rutherford,725,5,0,278,0,14
5/11/2020,Rutherford,745,20,3,281,0,14
5/12/2020,Rutherford,764,19,15,296,4,18
5/13/2020,Rutherford,780,16,20,316,2,20
5/14/2020,Rutherford,796,16,14,330,-1,19
5/15/2020,Rutherford,814,18,11,341,0,19
5/16/2020,Rutherford,847,33,19,360,0,19
5/17/2020,Rutherford,847,0,3,363,0,19
5/18/2020,Rutherford,884,37,10,373,0,19
5/19/2020,Rutherford,906,22,18,391,0,19
5/20/2020,Rutherford,913,7,18,409,0,19
5/21/2020,Rutherford,930,17,11,420,1,20
5/22/2020,Rutherford,950,20,13,433,0,20
5/23/2020,Rutherford,977,27,2,435,2,22
5/24/2020,Rutherford,998,21,3,438,0,22
5/25/2020,Rutherford,1029,31,14,452,0,22
5/26/2020,Rutherford,1063,34,10,462,0,22
5/27/2020,Rutherford,1090,27,7,469,0,22
