date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,pending,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
10/2/2020,MI,A+,7110,6788,8,322,,,678,0,,158,3583752,39183,,,3583752,,62,,139996,126358,984,0,,,,,175846,95051,,0,3723748,40167,296844,,,,,0,3759598,40411
10/1/2020,MI,A+,7102,6781,19,321,,,678,0,,158,3544569,34721,,,3544569,,67,,139012,125578,998,0,,,,,174618,95051,,0,3683581,35719,295830,,,,,0,3719187,35925
9/30/2020,MI,A+,7083,6762,11,321,,,557,0,,137,3509848,28584,,,3509848,,59,,138014,124687,1194,0,,,,,173414,95051,,0,3647862,29778,294558,,,,,0,3683262,29538
9/29/2020,MI,A+,7072,6751,21,321,,,557,0,,137,3481264,22976,,,3481264,,60,,136820,123633,1118,0,,,,,172460,95051,,0,3618084,24094,292652,,,,,0,3653724,23821
9/28/2020,MI,A+,7051,6731,7,320,,,557,0,,137,3458288,49604,,,3458288,,51,,135702,122735,1329,0,,,,,171615,95051,,0,3593990,50933,292255,,,,,0,3629903,51319
9/27/2020,MI,A+,7044,6723,0,321,,,558,0,,139,3408684,0,,,3408684,,52,,134373,121427,0,0,,,,,169900,95051,,0,3543057,0,291180,,,,,0,3578584,0
9/26/2020,MI,A+,7044,6723,17,321,,,558,0,,139,3408684,39749,,,3408684,,52,,134373,121427,996,0,,,,,169900,95051,,0,3543057,40745,291180,,,,,0,3578584,40941
9/25/2020,MI,A+,7027,6708,8,319,,,558,0,,139,3368935,38448,,,3368935,,52,,133377,120526,1040,0,,,,,168708,90216,,0,3502312,39488,289151,,,,,0,3537643,39572
9/24/2020,MI,A+,7019,6700,6,319,,,558,0,,139,3330487,36639,,,3330487,,50,,132337,119597,1078,0,,,,,167584,90216,,0,3462824,37717,288257,,,,,0,3498071,37781
9/23/2020,MI,A+,7013,6692,16,321,,,501,0,,146,3293848,33327,,,3293848,,58,,131259,118615,902,0,,,,,166442,90216,,0,3425107,34229,287162,,,,,0,3460290,34332
9/22/2020,MI,A+,6997,6680,16,317,,,501,0,,146,3260521,19516,,,3260521,,56,,130357,117910,695,0,,,,,165437,90216,,0,3390878,20211,285455,,,,,0,3425958,20184
